recorded_at,open_price,high_price,low_price,close_price,volume,rolling_mean,rolling_std,z_score,position,market_return,position_lag,gross_return,turnover,strategy_return,equity
2026-08-13 11:35:00,1309.2,1309.4,1309.0,1309.3,45045,1311.785,1.3538541474678707,-1.8355005261444537,1,0.00022918258212367704,1.0,0.00022918258212367704,0.0,0.00022918258212367704,99441.3757789658
2026-08-13 11:40:00,1309.2,1309.4,1309.0,1309.3,57778,1311.57,1.3913643436665255,-1.6314921467788044,1,0.0,1.0,0.0,0.0,0.0,99441.3757789658
2026-08-13 11:45:00,1309.2,1310.0,1309.0,1309.9,84804,1311.4050000000002,1.3835404621878027,-1.0877889307409496,1,0.0004582601390057395,1.0,0.0004582601390057395,0.0,0.0004582601390057395,99486.9457976532
2026-08-13 11:50:00,1309.9,1310.8,1309.7,1310.3,57908,1311.2350000000001,1.2926003982121714,-0.7233480674254744,1,0.00030536682189463704,1.0,0.00030536682189463704,0.0,0.00030536682189463704,99517.32581011142
2026-08-13 11:55:00,1310.4,1313.0,1310.3,1312.8,89340,1311.215,1.2633601811648913,1.254590752210169,1,0.0019079600091582716,1.0,0.0019079600091582716,0.0,0.0019079600091582716,99707.20088797549
2026-08-13 12:00:00,1312.9,1315.9,1312.9,1315.0,131620,1311.32,1.479544737939159,2.4872515887055187,1,0.001675807434491139,1.0,0.001675807434491139,0.0,0.001675807434491139,99874.29095649585
2026-08-13 12:05:00,1315.3,1315.3,1313.5,1313.5,93378,1311.435,1.5570806016338585,1.326199811257832,1,-0.0011406844106464087,1.0,-0.0011406844106464087,0.0,-0.0011406844106464087,99760.36590977742
2026-08-13 12:10:00,1313.6,1314.5,1313.6,1314.2,85881,1311.6,1.6682799209728807,1.558491454170299,1,0.0005329272934906371,1.0,0.0005329272934906371,0.0,0.0005329272934906371,99813.53093157936
2026-08-13 12:15:00,1314.2,1314.4,1313.7,1314.3,65880,1311.77,1.7636982675423223,1.434485731805745,1,7.609191903812373e-05,1.0,7.609191903812373e-05,0.0,7.609191903812373e-05,99821.1259346939
2026-08-13 12:20:00,1314.2,1314.4,1314.0,1314.1,59549,1311.91,1.8341497384734644,1.1940137460219207,1,-0.00015217225899721853,1.0,-0.00015217225899721853,0.0,-0.00015217225899721853,99805.93592846478
2026-08-13 12:25:00,1314.2,1314.2,1313.2,1313.4,75722,1311.925,1.8455850591372678,0.7992045626386008,1,-0.0005326839662125327,1.0,-0.0005326839662125327,0.0,-0.0005326839662125327,99752.77090666286
2026-08-13 12:30:00,1313.4,1314.4,1313.4,1314.4,61398,1311.9850000000001,1.907678390633405,1.265936654657032,1,0.0007613826709305105,1.0,0.0007613826709305105,0.0,0.0007613826709305105,99828.7209378085
2026-08-13 12:35:00,1314.5,1315.0,1313.6,1314.0,104775,1312.08,1.960289989284656,0.9794469239220643,1,-0.000304321363359783,1.0,-0.000304321363359783,0.0,-0.000304321363359783,99798.34092535023
2026-08-13 12:40:00,1314.2,1315.1,1314.0,1314.3,57383,1312.2350000000001,2.0089994891370018,1.0278748258352626,1,0.00022831050228311334,1.0,0.00022831050228311334,0.0,0.00022831050228311334,99821.12593469392
2026-08-13 12:45:00,1314.2,1315.1,1313.6,1314.3,139992,1312.35,2.0600204393429205,0.9465925496457851,1,0.0,1.0,0.0,0.0,0.0,99821.12593469392
2026-08-13 12:50:00,1314.2,1315.3,1313.0,1314.9,306465,1312.54,2.1132165555168636,1.1167809535842406,1,0.0004565167769916556,1.0,0.0004565167769916556,0.0,0.0004565167769916556,99866.6959533813
2026-08-13 12:55:00,1314.8,1314.9,1313.3,1314.6,72883,1312.665,2.1592579134569063,0.8961412103392824,1,-0.0002281542322611907,1.0,-0.0002281542322611907,0.0,-0.0002281542322611907,99843.91094403759
2026-08-13 13:00:00,1314.9,1316.0,1314.3,1315.1,145894,1312.875,2.1826770139790588,1.019390402588102,1,0.0003803438308229712,1.0,0.0003803438308229712,0.0,0.0003803438308229712,99881.8859596104
2026-08-13 13:05:00,1315.2,1316.3,1315.1,1316.1,159731,1313.1399999999999,2.2385145450510513,1.3223054576723918,1,0.0007603984487871696,1.0,0.0007603984487871696,0.0,0.0007603984487871696,99957.83599075602
2026-08-13 13:10:00,1316.0,1316.7,1312.5,1313.2,268781,1313.35,2.015597077526013,-0.07441963558707716,0,-0.0022034799787249426,1.0,-0.0022034799787249426,1.0,-0.0029034799787249427,99667.61041524018
2026-08-13 13:15:00,1313.7,1315.1,1311.8,1312.7,367137,1313.52,1.7863812288313135,-0.4590285582749864,0,-0.00038074931465126305,0.0,-0.0,0.0,-0.0,99667.61041524018
2026-08-13 13:20:00,1312.9,1313.5,1311.6,1311.7,84314,1313.6399999999999,1.5534003449088558,-1.2488731616147895,0,-0.0007617886798202411,0.0,-0.0,0.0,-0.0,99667.61041524018
2026-08-13 13:25:00,1311.6,1313.2,1311.1,1312.9,43996,1313.79,1.296919426943739,-0.6862415517186029,0,0.0009148433330792294,0.0,0.0,0.0,0.0,99667.61041524018
2026-08-13 13:30:00,1313.2,1313.9,1312.2,1313.6,110031,1313.955,1.0070671330702816,-0.3525087735886256,0,0.0005331708431715043,0.0,0.0,0.0,0.0,99667.61041524018
2026-08-13 13:35:00,1313.5,1315.2,1313.5,1314.9,158207,1314.06,0.9896304467005458,0.8488016944110075,0,0.0009896467722292357,0.0,0.0,0.0,0.0,99667.61041524018
2026-08-13 13:40:00,1315.0,1315.7,1314.5,1315.7,77288,1314.095,1.0359206431631174,1.5493464780267854,0,0.0006084112860293978,0.0,0.0,0.0,0.0,99667.61041524018
2026-08-13 13:45:00,1315.7,1316.5,1314.5,1314.9,376081,1314.1650000000002,1.040887778968133,0.7061279946321688,0,-0.0006080413468115831,0.0,-0.0,0.0,-0.0,99667.61041524018
2026-08-13 13:50:00,1314.9,1315.6,1314.6,1315.6,108826,1314.2350000000001,1.0893141250998668,1.2530820711377817,0,0.0005323598752755565,0.0,0.0,0.0,0.0,99667.61041524018
2026-08-13 13:55:00,1315.8,1316.3,1314.5,1315.4,181784,1314.2900000000002,1.1201033786805688,0.99097995874937,0,-0.00015202189115215425,0.0,-0.0,0.0,-0.0,99667.61041524018
2026-08-13 14:00:00,1315.6,1315.6,1313.5,1313.8,107729,1314.275,1.124780680369117,-0.42230455082519436,0,-0.0012163600425727505,0.0,-0.0,0.0,-0.0,99667.61041524018
2026-08-13 14:05:00,1314.3,1314.3,1312.5,1312.6,63805,1314.2350000000001,1.1708184271943827,-1.3964590597691122,0,-0.0009133810321205749,0.0,-0.0,0.0,-0.0,99667.61041524018
2026-08-13 14:10:00,1312.7,1313.1,1312.6,1313.0,51608,1314.165,1.2018735374340341,-0.9693199523197803,0,0.00030473868657643344,0.0,0.0,0.0,0.0,99667.61041524018
2026-08-13 14:15:00,1313.0,1314.4,1313.0,1314.0,122649,1314.165,1.2018735374340341,-0.13728565848303304,0,0.0007616146230007281,0.0,0.0,0.0,0.0,99667.61041524018
2026-08-13 14:20:00,1314.3,1315.7,1314.1,1315.0,75697,1314.2,1.2161198001863414,0.6578299275099161,0,0.0007610350076103778,0.0,0.0,0.0,0.0,99667.61041524018
2026-08-13 14:25:00,1315.0,1315.8,1314.6,1315.6,122847,1314.2649999999999,1.2558389940321113,1.0630343589776294,0,0.00045627376425838584,0.0,0.0,0.0,0.0,99667.61041524018
2026-08-13 14:30:00,1315.7,1316.4,1314.1,1314.1,184854,1314.225,1.2472601551885802,-0.10021966907224784,0,-0.0011401641836424892,0.0,-0.0,0.0,-0.0,99667.61041524018
2026-08-13 14:35:00,1314.1,1314.8,1314.0,1314.2,78008,1314.2050000000002,1.244133602567197,-0.004018860988716912,0,7.609770945915528e-05,0.0,0.0,0.0,0.0,99667.61041524018
2026-08-13 14:40:00,1314.2,1315.9,1314.2,1315.3,115722,1314.215,1.2524817468929417,0.8662800896632779,0,0.0008370111094200272,0.0,0.0,0.0,0.0,99667.61041524018
2026-08-13 14:45:00,1315.7,1315.7,1314.6,1314.6,219676,1314.1399999999999,1.1762563272317086,0.3910712226157673,0,-0.000532197977647697,0.0,-0.0,0.0,-0.0,99667.61041524018
2026-08-13 14:50:00,1314.8,1315.6,1314.2,1314.6,165096,1314.21,1.1589014762106238,0.3365255873821947,0,0.0,0.0,0.0,0.0,0.0,99667.61041524018
2026-08-13 14:55:00,1314.8,1314.8,1312.8,1313.5,238855,1314.25,1.1170920896803096,-0.6713860092005804,0,-0.0008367564278106698,0.0,-0.0,0.0,-0.0,99667.61041524018
